oldvar,RPP.LANDCLIMII
Persicaria maculosa-type,zz.do not use
Persicaria maculosa-type,zz.do not use
Petasites,zz.do not use
Petasites,zz.do not use
Petasites-type,zz.do not use
Peucedanum,zz.do not use
Peucedanum ostruthium,zz.do not use
Peucedanum pal.T,zz.do not use
PEUCEDANUM PALU:T,zz.do not use
Peucedanum palustre,zz.do not use
Peucedanum palustre type,zz.do not use
PEUCEDANUM PALUSTRE TYPE,zz.do not use
Peucedanum palustre-typ - kärrsilja,zz.do not use
Peucedanum palustre-type,zz.do not use
Peucedanum type,zz.do not use
PEUCEDANUM TYPE ,zz.do not use
PEUCEDANUM-T.,zz.do not use
Peucedanum-type,zz.do not use
Peucedanum-type,zz.do not use
Phacelia,zz.do not use
PHACELIA,zz.do not use
Phacelia,zz.do not use
Phacotus lenticularis,zz.do not use
Phaeocelores,zz.do not use
Phaeoceros,zz.do not use
PHAEOCEROS LAEVIS,zz.do not use
Phaeoceros laevis,zz.do not use
Phaeoceros laevis-type,zz.do not use
Phaeoceros laevis-type,zz.do not use
Phaseolus,zz.do not use
Phegopteris,zz.do not use
Phegopteris connectilis,zz.do not use
Phegopteris connectilis-typ - hultbräken m.fl.,zz.do not use
Phillyrea,Phillyrea
Phillyrea,Phillyrea
PHILLYREA,Phillyrea
Phillyrea angustifolia,Phillyrea
Phillyrea angustifolia type,Phillyrea
Phillyrea type,Phillyrea
Phleum-type,Poaceae
Phlomis,zz.do not use
Phlomis,zz.do not use
Phoenix,zz.do not use
PHOENIX type,zz.do not use
Phragmites,Poaceae
Phragmites australis-type,Poaceae
Phragmites australis-type,Poaceae
Phragmites T.,Poaceae
PHRAGMITES TYPE,Poaceae
PHRAGMITES TYPE ,Poaceae
Phragmites-typ - vass,Poaceae
Phragmites-type,Poaceae
Phryganella hemisphaerica,zz.do not use
Phyllirea,Phillyrea
PHYLLIREA,Phillyrea
Phyteuma,zz.do not use
PHYTEUMA,zz.do not use
Phyteuma,zz.do not use
Phyteuma hemisphaericum,zz.do not use
Phyteuma type,zz.do not use
Phyteuma-Typ,zz.do not use
Phyteuma-type,zz.do not use
Phyteuma-type,zz.do not use
Picea,Picea
PICEA,Picea
picea,Picea
Picea,Picea
PICEA,Picea
Picea ,Picea
PICEA ,Picea
Picea  ,Picea
PICEA   ,Picea
Picea                                   ,Picea
Picea - gran,Picea
Picea (half),Picea
Picea (whole),Picea
Picea abies,Picea
PICEA ABIES,Picea
Picea Abies,Picea
Picea abies ,Picea
Picea abies subsp. abies,Picea
Picea abies subsp. obovata,Picea
Picea abies-type,Picea
Picea omorika type,Picea
Picea orientalis,Picea
Picea rå,Picea
Picea stoma,zz.do not use
Picea stomat,zz.do not use
Picea stomata,zz.do not use
Picea ,Picea
Picea/Abies,zz.do not use
Pigmented spores,zz.do not use
Pilularia,zz.do not use
Pilularia,zz.do not use
PILULARIA GLOBULIFERA,zz.do not use
Pilularia globulifera,zz.do not use
Pimpinella,zz.do not use
Pimpinella,zz.do not use
Pimpinella anisum,zz.do not use
Pimpinella anisum,zz.do not use
PIMPINELLA ANISUM T,zz.do not use
Pimpinella anisum type,zz.do not use
Pimpinella major,zz.do not use
PIMPINELLA MAJOR T,zz.do not use
Pimpinella major type,zz.do not use
PIMPINELLA MAJOR TYPE,zz.do not use
Pimpinella major/saxifraga,zz.do not use
Pimpinella major-Typ,zz.do not use
Pimpinella major-type,zz.do not use
Pimpinella major-type,zz.do not use
Pimpinella major-type=Pimpinella,zz.do not use
PIMPINELLA SAXIFRAGA,zz.do not use
Pimpinella saxifraga ype,zz.do not use
Pimpinella type,zz.do not use
Pimpinella type,zz.do not use
PIMPINELLA-T.,zz.do not use
Pimpinella-type,zz.do not use
PimpMajor,zz.do not use
Pinaceae,zz.do not use
Pinaceae,zz.do not use
Pinaceae (broken),zz.do not use
Pinaceae (corroded),zz.do not use
Pinaceae (crumpled),zz.do not use
Pinaceae (degraded),zz.do not use
Pinaceae (intact),zz.do not use
Pinaceae (obscured),zz.do not use
Pinaceae stomata,zz.do not use
Pinguicula,zz.do not use
pinguicula,zz.do not use
Pinguicula,zz.do not use
Pinguicula cf. grandiflora,zz.do not use
Pinguicula vulgaris,zz.do not use
Pinnularia,zz.do not use
Pinus,Pinus
PINUS,Pinus
pinus,Pinus
Pinus,Pinus
PINUS,Pinus
Pinus ,Pinus
PINUS ,Pinus
Pinus ,Pinus
Pinus  ,Pinus
Pinus   ,Pinus
PINUS   ,Pinus
Pinus    ,Pinus
Pinus - tall,Pinus
Pinus (broken),Pinus
Pinus (corroded),Pinus
Pinus (crumpled),Pinus
Pinus (degraded),Pinus
Pinus (Diploxylon),Pinus
Pinus (fragmented),Pinus
Pinus (half),Pinus
Pinus (Haploxylon),Pinus
Pinus (intact),Pinus
Pinus (whole),Pinus
Pinus 1/2,Pinus
Pinus a,Pinus
Pinus cembra,Pinus
PINUS CEMBRA,Pinus
Pinus cembra-Typ,Pinus
Pinus cembra-type,Pinus
Pinus cembra-type,Pinus
Pinus cf. pinaster,Pinus
Pinus clump,zz.do not use
Pinus Dip,Pinus
Pinus diploxylon,Pinus
Pinus diploxylon-type,Pinus
Pinus halepensis-type,Pinus
Pinus hal-pinea,Pinus
Pinus Hap,Pinus
PINUS HAPLOXYLON TYPE * ingår i 79,Pinus
Pinus haploxylon/cembra,Pinus
Pinus haploxylon-type,Pinus
PINUS IND,Pinus
Pinus mugo,Pinus
PINUS NIGRA type,Pinus
Pinus nigra type,Pinus
Pinus non-cembra,Pinus
Pinus peuce,Pinus
Pinus pinaster,Pinus
PINUS PINASTER,Pinus
Pinus pinaster,Pinus
PINUS PINASTER type,Pinus
Pinus pinaster type,Pinus
Pinus rå,Pinus
Pinus s/g Dipl.,Pinus
Pinus s/g Hapl.,Pinus
Pinus sacos,Pinus
Pinus silvestris,Pinus
Pinus sp,Pinus
Pinus sp.,Pinus
Pinus spp,Pinus
Pinus spp.,Pinus
Pinus stoma,zz.do not use
Pinus stomat,zz.do not use
Pinus stomata,zz.do not use
Pinus Stomata,zz.do not use
Pinus subg. Pinus,Pinus
Pinus subg. Strobus,Pinus
Pinus subgen. Diploxylon,Pinus
Pinus Subgen. Pinus,Pinus
Pinus subsp.Haploxylon,Pinus
Pinus sylvestris,Pinus
Pinus sylvestris ,Pinus
Pinus sylvestris                        ,Pinus
Pinus sylvestris type,Pinus
Pinus sylvestris/mugo,Pinus
Pinus sylvestris-Typ,Pinus
Pinus sylvestris-type,Pinus
Pinus sylvestris-type,Pinus
Pinus trozos,Pinus
Pinus undiff.,Pinus
Pinus unk,Pinus
Pinus ,Pinus
Pinus: stomata,zz.do not use
Pinus: stomata,zz.do not use
Pinus-type,Pinus
Pistacia,Pistacia
Pistacia,Pistacia
PISTACIA,Pistacia
Pistacia atlantica,Pistacia
Pistacia palaestinia,Pistacia
Pistacia terebinthus,Pistacia
Pistacia terebinthus,Pistacia
Pistacia type,Pistacia
Pisum sativum,zz.do not use
PL,zz.do not use
Pl coronopus-type,zz.do not use
Pl lanceolata-type,Plantago lanceolata type
Pl maj,zz.do not use
Pl major-media-type,zz.do not use
Pl med,zz.do not use
Pl. lanceolata,Plantago lanceolata type
Pl. major/media,zz.do not use
PL.LANCEOLATA,Plantago lanceolata type
PL.MAJ/MEDIA,zz.do not use
PL.maj/media,zz.do not use
PL.MAJOR/MEDIA,zz.do not use
Pla lanc,Plantago lanceolata type
Pla m/m,zz.do not use
Pla.mar,zz.do not use
Pla.mm,zz.do not use
PLA_CORONO,zz.do not use
PLA_LA,Plantago lanceolata type
PLA_MAME,zz.do not use
PLA_MARIT,zz.do not use
Plæantago major,zz.do not use
Plan med/maj.,zz.do not use
Plan. Lan.,Plantago lanceolata type
Plan.lan.,Plantago lanceolata type
PLAN_LAN,Plantago lanceolata type
PlanLanc,Plantago lanceolata type
PlanMaj,zz.do not use
PlanMajor,zz.do not use
PlanMed,zz.do not use
PlanMM,zz.do not use
Plant. major type,zz.do not use
PLANTAG SP.,zz.do not use
Plantaginaceae,zz.do not use
Plantaginaceae,zz.do not use
Plantago,zz.do not use
PLANTAGO,zz.do not use
plantago,zz.do not use
Plantago,zz.do not use
PLANTAGO,zz.do not use
Plantago ,zz.do not use
Plantago alpina,zz.do not use
Plantago alpina type,zz.do not use
Plantago alpina/maritima,zz.do not use
Plantago alpina/Plantago maritima,zz.do not use
Plantago alpina/Plantago maritima type,zz.do not use
Plantago alpina-type,zz.do not use
Plantago atrata-type,zz.do not use
Plantago cf tenuiflora,zz.do not use
Plantago cf. major,zz.do not use
Plantago cf. media ,zz.do not use
Plantago cf. P. alpina,zz.do not use
Plantago cf. P. coronopus,zz.do not use
Plantago cf. P. tenuiflora,zz.do not use
Plantago cor.,zz.do not use
Plantago coronopus,zz.do not use
Plantago Coronopus,zz.do not use
PLANTAGO CORONOPUS,zz.do not use
Plantago coronopus,zz.do not use
Plantago coronopus                      ,zz.do not use
Plantago coronopus t.,zz.do not use
Plantago coronopus type,zz.do not use
plantago coronopus type,zz.do not use
Plantago coronopus-t,zz.do not use
Plantago coronopus-Typ,zz.do not use
Plantago coronopus-type,zz.do not use
Plantago coronopus-type,zz.do not use
Plantago Indet.,Plantago lanceolata type
Plantago indet.,Plantago lanceolata type
Plantago indeterminata,Plantago lanceolata type
Plantago indeterminata ,Plantago lanceolata type
Plantago intermedia type,Plantago lanceolata type
Plantago l,Plantago lanceolata type
Plantago lanc.,Plantago lanceolata type
PLANTAGO LANC.,Plantago lanceolata type
PLANTAGO LANC.  ,Plantago lanceolata type
Plantago lanc. rå,Plantago lanceolata type
Plantago lanceolata,Plantago lanceolata type
plantago lanceolata,Plantago lanceolata type
Plantago Lanceolata,Plantago lanceolata type
PLANTAGO LANCEOLATA,Plantago lanceolata type
Plantago lanceolata,Plantago lanceolata type
PLANTAGO LANCEOLATA ,Plantago lanceolata type
Plantago lanceolata ,Plantago lanceolata type
Plantago lanceolata  ,Plantago lanceolata type
Plantago lanceolata                     ,Plantago lanceolata type
Plantago lanceolata - svartkämpar,Plantago lanceolata type
Plantago lanceolata L.,Plantago lanceolata type
Plantago lanceolata rå,Plantago lanceolata type
Plantago lanceolata type,Plantago lanceolata type
plantago lanceolata type,Plantago lanceolata type
PLANTAGO LANCEOLATA type,Plantago lanceolata type
Plantago lanceolata ,Plantago lanceolata type
Plantago lanceolata-Typ,Plantago lanceolata type
Plantago lanceolata-type,Plantago lanceolata type
Plantago lanceolata-type,Plantago lanceolata type
Plantago m,zz.do not use
Plantago m/m,zz.do not use
PLANTAGO m/m,zz.do not use
Plantago maior,zz.do not use
Plantago maior-type,zz.do not use
Plantago maj./med. rå,zz.do not use
Plantago maj/med,zz.do not use
PLANTAGO MAJ/MEDIA,zz.do not use
Plantago major,zz.do not use
plantago major,zz.do not use
PLANTAGO MAJOR,zz.do not use
Plantago major,zz.do not use
Plantago major ,zz.do not use
PLANTAGO MAJOR  ,zz.do not use
Plantago major - groblad,zz.do not use
Plantago major - media,zz.do not use
Plantago major / media,zz.do not use
plantago major p media,zz.do not use
Plantago major rå,zz.do not use
Plantago major type,zz.do not use
Plantago major/media,zz.do not use
PLANTAGO MAJOR/MEDIA,zz.do not use
Plantago major/media,zz.do not use
Plantago major/media ,zz.do not use
Plantago major/media rå,zz.do not use
Plantago major/media t.,zz.do not use
Plantago major/media T.,zz.do not use
Plantago major/media type,zz.do not use
Plantago major/media-type,zz.do not use
Plantago major/minor ,zz.do not use
Plantago major/P. media,zz.do not use
Plantago major/P. media ,zz.do not use
Plantago major/P. media-type,zz.do not use
Plantago major/P. media-type,zz.do not use
Plantago major/P.media,zz.do not use
Plantago major/Plantago media,zz.do not use
Plantago major/Plantago media type,zz.do not use
Plantago major?,zz.do not use
Plantago major-media,zz.do not use
Plantago major-media type,zz.do not use
Plantago major-media-Typ,zz.do not use
Plantago major-media-type,zz.do not use
Plantago major-media-type ,zz.do not use
plantago mariatima,zz.do not use
Plantago maririma,zz.do not use
Plantago marit.,zz.do not use
Plantago maritima,zz.do not use
plantago maritima,zz.do not use
PLANTAGO MARITIMA,zz.do not use
Plantago maritima                       ,zz.do not use
Plantago maritima - gulkämpar,zz.do not use
Plantago maritima s.l.,zz.do not use
Plantago maritima type,zz.do not use
plantago maritima type,zz.do not use
Plantago maritima/P. alpina,zz.do not use
Plantago maritima-Typ,zz.do not use
Plantago maritima-type,zz.do not use
Plantago maritima-type,zz.do not use
Plantago maritima-type=Plantago maritima s.l.,zz.do not use
Plantago media,zz.do not use
plantago media,zz.do not use
PLANTAGO MEDIA,zz.do not use
Plantago media,zz.do not use
Plantago media                          ,zz.do not use
Plantago media - rödkämpar,zz.do not use
PLANTAGO MEDIA / MAJOR,zz.do not use
plantago media major type,zz.do not use
Plantago media t.,zz.do not use
Plantago media type,zz.do not use
plantago media type,zz.do not use
Plantago media type,zz.do not use
Plantago media/major,zz.do not use
PLANTAGO MEDIA/MAJOR,zz.do not use
Plantago media/major,zz.do not use
Plantago media/major                    ,zz.do not use
Plantago media/P. major,zz.do not use
Plantago media/P.major,zz.do not use
Plantago media/Plantago major type,zz.do not use
Plantago media\major type,zz.do not use
Plantago media-type,zz.do not use
Plantago montana,zz.do not use
Plantago montana-type,zz.do not use
Plantago ovata type,zz.do not use
Plantago p.p.,zz.do not use
PLANTAGO SP,zz.do not use
Plantago sp,zz.do not use
Plantago sp.,zz.do not use
PLANTAGO SP.,zz.do not use
Plantago spp,zz.do not use
Plantago spp.,zz.do not use
Plantago tenuiflora,zz.do not use
Plantago tenuiflora ,zz.do not use
Plantago tenuiflora-type,zz.do not use
Plantago und,zz.do not use
plantago undiff,zz.do not use
Plantago undiff.,zz.do not use
Plantago undiff.,zz.do not use
Plantago undifferentiated,zz.do not use
Plantago uniflora,zz.do not use
plantagom,zz.do not use
plantagomedius type,zz.do not use
Plantago-type,zz.do not use
Plantanceolata,Plantago lanceolata type
PlantC,zz.do not use
PlantL,Plantago lanceolata type
PlantM,zz.do not use
Plantmajor/media,zz.do not use
Plantsp.,zz.do not use
Platago alpina T,zz.do not use
Platanus,zz.do not use
PLATANUS,zz.do not use
Platanus,zz.do not use
Platanus orientalis,zz.do not use
Platanus orientalis,zz.do not use
Platycarya strobilacea,zz.do not use
Pleurospermum,zz.do not use
PLEUROSPERMUM,zz.do not use
Pleurospermum austriacum,zz.do not use
PLEUROSPERMUM AUSTRIACUM,zz.do not use
Pleurospermum austriacum-type,zz.do not use
Pleurospermum-type,zz.do not use
PLUMBAGIN,zz.do not use
Plumbaginaceae,zz.do not use
plumbaginaceae,zz.do not use
PLUMBAGINACEAE,zz.do not use
Plumbaginaceae,zz.do not use
Plumbago,zz.do not use
Pluricellasporites,zz.do not use
Po avi,zz.do not use
Poa > 40,Cerealia-t
Poa stor,Poaceae
Poa/Festuca-type,Poaceae
Poa>40,Cerealia-t
Poac,Poaceae
Poac.+Cyperac.,zz.do not use
Poaceae,Poaceae
POACEAE,Poaceae
poaceae,Poaceae
Poaceae,Poaceae
POACEAE,Poaceae
Poaceae ,Poaceae
Poaceae   ,Poaceae
Poaceae (Phragmites),Poaceae
Poaceae (Wildgras-Typ),Poaceae
Poaceae + Cyperaceae,zz.do not use
Poaceae < 20 mm,Poaceae
Poaceae <37 um,Poaceae
Poaceae <37um,Poaceae
Poaceae <37um ,Poaceae
POACEAE <40 um UNDIFF.,Poaceae
Poaceae <40um,Poaceae
Poaceae <40um rå,Poaceae
Poaceae > 40 mm,Cerealia-t
Poaceae > 40mm,Cerealia-t
Poaceae >37 um,Cerealia-t
Poaceae >37æm undiff.,Cerealia-t
Poaceae >37um,Cerealia-t
Poaceae >37um undiff.,Cerealia-t
Poaceae >40,Cerealia-t
Poaceae >40 microns,Cerealia-t
POACEAE >40 um UNDIFF.,Cerealia-t
Poaceae >40my,Cerealia-t
Poaceae >40um,Cerealia-t
Poaceae >40um rå,Cerealia-t
Poaceae >40um undiff.,Cerealia-t
Poaceae >40um undiff. Rå,Cerealia-t
Poaceae >41 rå,Cerealia-t
Poaceae anl-D<8um,Poaceae
Poaceae anl-D<8um                       ,Poaceae
Poaceae anl-D>8um,Cerealia-t
Poaceae anl-D>8um                       ,Cerealia-t
Poaceae annulus diameter >10u,Cerealia-t
Poaceae annulus diameter >10um,Cerealia-t
Poaceae annulus diameter >8u,Cerealia-t
Poaceae annulus diameter >8um,Cerealia-t
Poaceae cerealia,Cerealia-t
Poaceae clump,zz.do not use
Poaceae d,Poaceae
Poaceae odiff. <40um (gräs),Poaceae
Poaceae odiff. >40um (obest. odlade gräs),Cerealia-t
Poaceae ospec. - gräs,Poaceae
Poaceae ospec. - vildgräs,Poaceae
Poaceae p.p.,Poaceae
Poaceae rå,Poaceae
POACEAE type 2,Poaceae
Poaceae type cerealia,Cerealia-t
poaceae undiff,Poaceae
POACEAE UNDIFF,Poaceae
Poaceae undiff.,Poaceae
POACEAE UNDIFF.,Poaceae
Poaceae undiff. - unspec. grass family,Poaceae
Poaceae undiff. <40um,Poaceae
Poaceae undiff. >40um,Cerealia-t
Poaceae undiff. rå ,Poaceae
Poaceae: Avena type,Cerealia-t
Poaceae: Cerealia undiff.,Cerealia-t
Poaceae: Hordeum type,Cerealia-t
Poaceae: Secale cereale,Secale
Poaceae: Triticum type,Cerealia-t
Poaceae: wild grasses,Poaceae
Poaceae<40um rå,Poaceae
Poaceae>40um rå,Cerealia-t
Poaceae40m,Cerealia-t
Podocarpus,zz.do not use
Podospora,zz.do not use
Podospora-type,zz.do not use
Podospora-type,zz.do not use
Pol aviculare,zz.do not use
Pol aviculare-type,zz.do not use
Pol bistorta-type,zz.do not use
Pol sp.,zz.do not use
Pol vu,zz.do not use
Pol. bistorta t.,zz.do not use
Pol. persicaria t.,zz.do not use
Pol.con.,zz.do not use
Polemoniaceae,zz.do not use
Polemonium,zz.do not use
Polemonium,zz.do not use
POLEMONIUM,zz.do not use
Polemonium ,zz.do not use
Polemonium boreale,zz.do not use
Polemonium caeruleum,zz.do not use
Polemonium caeruleum ,zz.do not use
Polemonium caerulum,zz.do not use
POLEMONIUM T,zz.do not use
Poligonaceae (s?rene),zz.do not use
Polipodiaceae,zz.do not use
Pollen concentration,zz.do not use
Pollen count,zz.do not use
Pollen indeterminata,zz.do not use
Pollen influx (pollen/cm\^2\^/år),zz.do not use
Pollen sum,zz.do not use
POLLEN SUM,zz.do not use
Pollen Sum,zz.do not use
pollen sum,zz.do not use
Pollen sum,zz.do not use
Pollen sum + aquatics,zz.do not use
POLLEN SUM + LIMNOPHYTES,zz.do not use
Pollen sum + Littoral vegetation,zz.do not use
Pollen sum + Pediastrum,zz.do not use
POLLEN SUM + PTERIDOPHYTES,zz.do not use
Pollen sum + spores,zz.do not use
POLLEN SUM + TELMATO- & AMPHIPHYTES,zz.do not use
Pollen sum + True aquatics,zz.do not use
Pollen sum + varia,zz.do not use
pollen sum and aquatics,zz.do not use
pollen sum and varia,zz.do not use
Pollen sum+charcoal,zz.do not use
Pollen sum+Pteridophytes,zz.do not use
Pollen sum+spores,zz.do not use
Pollen sum+unidentified pollen,zz.do not use
Pollen sum+water plants,zz.do not use
Pollenackumulation,zz.do not use
Pollenackumulation (pollenkorn/cm\^2\^/år),zz.do not use
Pollenconcentration (pollenkorn/cm\^3\^),zz.do not use
Pollenkoncentration (pollen/cm\^3\^),zz.do not use
Pollenkoncentration (pollenkorn/cm\^3\^),zz.do not use
Pollen-Sporensumme,zz.do not use
Pollensum,zz.do not use
Pollensumma,zz.do not use
Pollensumma + Limnophyter,zz.do not use
Pollensumma + Pteridophyter,zz.do not use
Pollensumma + Telmato- & Amphiphyter,zz.do not use
Poly,zz.do not use
Poly.aviculare,zz.do not use
POLY_DUME,zz.do not use
Polyadosporites,zz.do not use
Polycarpon,zz.do not use
Polycnemum,zz.do not use
Polyg. aviculare,zz.do not use
POLYG.BISTORTA,zz.do not use
POLYG.PERSICARIA,zz.do not use
POLYG_AVIC,zz.do not use
POLYG_BIST,zz.do not use
POLYG_CONV,zz.do not use
POLYG_HYDR,zz.do not use
POLYG_MACU,zz.do not use
PolygA,zz.do not use
Polygala,zz.do not use
POLYGALA,zz.do not use
polygala,zz.do not use
POLYGALA,zz.do not use
Polygala,zz.do not use
Polygala  ,zz.do not use
Polygala                                ,zz.do not use
Polygala comosa,zz.do not use
Polygala comosa-Typ,zz.do not use
Polygala vulgaris,zz.do not use
Polygala vulgaris-type,zz.do not use
Polygalaceae,zz.do not use
Polygalaceae,zz.do not use
polygalaceae,zz.do not use
Polygala-type,zz.do not use
PolygAvi,zz.do not use
Polygaviculare-type,zz.do not use
PolygB,zz.do not use
Polygbistorta-type,zz.do not use
PolygCon,zz.do not use
POLYGO BISTORTA,zz.do not use
POLYGO.PERSICARIA t.,zz.do not use
Polygonaceae,zz.do not use
POLYGONACEAE,zz.do not use
Polygonaceae,zz.do not use
Polygonaceae - s?renes,zz.do not use
Polygonaceae rå,zz.do not use
Polygonaceae unbdiff.,zz.do not use
Polygonaceae undifferentiated,zz.do not use
Polygonatum,zz.do not use
Polygonatum verticillatum,zz.do not use
Polygonatum-type,zz.do not use
Polygonnum avic.-T.,zz.do not use
Polygonum,zz.do not use
POLYGONUM,zz.do not use
polygonum,zz.do not use
Polygonum,zz.do not use
POLYGONUM,zz.do not use
Polygonum  scorparium type,zz.do not use
Polygonum alpinum,zz.do not use
Polygonum alpinum,zz.do not use
Polygonum amph.,zz.do not use
Polygonum amphibium,zz.do not use
POLYGONUM AMPHIBIUM,zz.do not use
Polygonum amphibium,zz.do not use
POLYGONUM AMPHIBIUM,zz.do not use
POLYGONUM AMPHIBIUM ,zz.do not use
Polygonum amphibium type,zz.do not use
Polygonum amphybium,zz.do not use
Polygonum aquatic-type,zz.do not use
